CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,SC07,TIME001,TIME002,TIME003,TIME004,TIME005,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
55,,,base,interview,2022-06-21 18:49:57,2,8,1,-1,1,1,120,1,24,3,6,6,2,4,2,2,4,4,3,4,7,4,1,4,4,1,14,2,86,92,20,214,,2022-06-21 18:53:31,1,0,5,5,0,0,"1,26",16
61,,,base,interview,2022-06-21 19:04:08,,,,,1,,,,,,,,,,,,,,,,,,,,,1,7,4,,,,11,,2022-06-21 19:04:19,0,0,2,2,0,0,"1,43",21
62,,,base,interview,2022-06-21 19:05:00,1,1,10,1,1,1,30,1,20,2,2,6,4,6,1,2,6,7,7,6,4,3,5,5,4,1,3,2,49,94,28,176,,2022-06-21 19:07:56,1,0,5,5,0,0,"1,78",55
63,,,base,interview,2022-06-21 19:06:57,1,7,6,3,1,1,60,0,58,3,4,6,1,5,4,2,4,4,3,4,4,4,4,4,2,1,186,3,68,92,36,212,,2022-06-21 19:13:23,1,0,5,5,0,0,"0,9",9
64,,,base,interview,2022-06-21 19:32:16,,,,,1,,,,,,,,,,,,,,,,,,,,,1,6,3,,,,9,,2022-06-21 19:32:25,0,0,2,2,0,0,"1,75",38
66,,,base,interview,2022-06-21 19:39:08,,,,,1,1,20,0,20,3,5,5,2,2,1,1,,,,,,,,,,1,9,4,219,,,232,,2022-06-21 19:43:00,0,0,3,3,0,0,"0,98",7
68,,,base,interview,2022-06-21 20:12:28,,,,,1,,,,,,,,,,,,,,,,,,,,,1,10,4,,,,14,,2022-06-21 20:12:42,0,0,2,2,0,0,"1,15",8
69,,,base,interview,2022-06-21 20:13:57,2,11,6,4,1,1,15,0,50,3,3,6,2,5,4,2,5,7,4,5,7,6,6,6,5,1,5,2,77,70,32,186,,2022-06-21 20:17:03,1,0,5,5,0,0,"1,58",30
70,,,base,interview,2022-06-21 20:14:38,,,,,1,,,,,,,,,,,,,,,,,,,,,1,32,4,,,,36,,2022-06-21 20:15:14,0,0,2,2,0,0,"0,7",0
72,,,base,interview,2022-06-21 20:50:55,1,34,4,2,1,1,5,0,10,3,4,6,2,3,6,2,4,6,2,4,4,5,2,5,2,1,60,5,239,101,26,431,,2022-06-21 20:58:07,1,0,5,5,0,0,"0,65",0
73,,,base,interview,2022-06-21 21:11:30,1,5,4,2,1,1,60,1,11,3,4,6,2,4,4,2,3,4,3,5,6,4,4,3,3,1,21,3,142,68,51,285,,2022-06-21 21:16:15,1,0,5,5,0,0,"0,86",4
74,,,base,interview,2022-06-21 21:28:00,1,5,6,2,1,1,10,1,8,1,1,6,1,6,1,2,2,3,2,6,6,4,3,3,3,1,15,3,59,115,21,213,,2022-06-21 21:31:33,1,0,5,5,0,0,"1,19",14
75,,,base,interview,2022-06-21 21:43:47,1,8,3,3,1,1,15,0,36,3,3,4,2,3,2,1,3,6,4,3,7,5,3,5,1,1,4,3,110,66,11,194,,2022-06-21 21:47:01,1,0,5,5,0,0,"1,78",42
76,,,base,interview,2022-06-22 6:32:02,2,34,7,1,1,1,20,1,0,6,6,6,1,6,6,3,2,3,1,2,4,4,4,5,4,1,14,4,108,89,40,255,,2022-06-22 6:36:17,1,0,5,5,0,0,"0,88",0
77,,,base,interview,2022-06-22 10:22:16,1,7,6,-1,1,1,10,2,23,4,2,6,2,6,2,4,4,6,3,5,3,5,6,5,5,1,32,5,107,131,31,306,,2022-06-22 10:27:22,1,0,5,5,0,0,"0,73",0
79,,,base,interview,2022-06-23 11:12:35,2,6,1,3,1,2,,1,10,2,4,4,2,3,4,2,1,4,1,1,6,4,4,4,3,1,28,7,50,60,10,155,,2022-06-23 11:15:10,1,0,5,5,0,0,"1,42",31
82,,,base,interview,2022-06-28 10:15:26,2,7,3,2,1,1,60,0,50,3,3,6,6,6,4,2,4,5,4,6,3,4,4,5,4,1,48,5,99,51,16,219,,2022-06-28 10:19:05,1,0,5,5,0,0,"1,06",12
84,,,base,interview,2022-06-28 10:17:29,2,7,10,-1,1,1,10,0,30,1,3,6,3,3,2,1,4,4,5,4,4,4,4,5,4,1,200,4,177,135,27,356,,2022-06-28 10:26:32,1,0,5,5,0,0,"0,64",0
86,,,base,interview,2022-06-28 10:36:31,2,6,8,3,1,1,20,0,49,1,1,6,3,6,3,2,3,4,1,4,6,1,5,4,4,1,9,5,159,119,52,344,,2022-06-28 10:42:15,1,0,5,5,0,0,"0,81",4
87,,,base,interview,2022-06-28 10:44:41,2,7,6,3,1,1,30,1,17,2,5,6,1,4,1,1,6,6,6,6,3,6,6,6,6,1,23,4,66,41,22,156,,2022-06-28 10:47:17,1,0,5,5,0,0,"1,24",17
94,,,base,interview,2022-06-28 13:33:47,2,7,1,2,1,1,10,0,39,2,3,6,3,2,1,1,6,7,2,5,7,4,7,6,4,1,128,49,120,96,23,256,,2022-06-28 13:40:43,1,0,5,5,0,0,"0,6",2
95,,,base,interview,2022-06-28 13:42:58,2,7,5,3,1,1,20,2,51,5,6,6,1,2,2,1,6,6,2,3,7,3,1,6,1,1,109,4,106,99,29,251,,2022-06-28 13:48:46,1,0,5,5,0,0,"0,76",0
96,,,base,interview,2022-06-28 14:08:25,2,6,3,2,1,1,40,2,5,4,6,6,1,3,2,2,4,5,2,4,6,4,4,2,2,1,6,4,98,69,18,195,,2022-06-28 14:11:41,1,0,5,5,0,0,"1,37",18
97,,,base,interview,2022-06-28 14:23:42,1,4,4,3,1,1,10,0,18,1,2,5,2,6,3,2,1,4,1,4,6,4,1,2,1,1,10,4,81,37,25,157,,2022-06-28 14:26:20,1,0,5,5,0,0,"1,34",17
101,,,base,interview,2022-06-29 15:41:14,1,7,4,3,1,1,30,0,42,2,3,3,4,4,2,2,4,5,2,3,2,4,2,5,2,1,12,4,168,112,1021,323,,2022-06-29 16:03:11,1,0,5,5,0,0,"0,68",1
102,,,base,interview,2022-06-29 15:54:50,,,,,1,2,,0,40,1,1,5,4,6,1,1,,,,,,,,,,1,9,2,1245,,,117,,2022-06-29 16:15:46,0,0,3,3,0,0,"1,18",24
103,,,base,interview,2022-06-29 16:00:07,,,,,2,,,,,,,,,,,,,,,,,,,,,1,5,7,,,,12,,2022-06-29 16:00:19,1,0,2,2,0,0,"1,59",40
104,,,base,interview,2022-06-29 16:01:43,2,6,3,4,1,1,15,0,23,1,1,6,3,4,2,2,1,6,2,5,5,4,2,6,3,1,8,3,73,36,12,132,,2022-06-29 16:03:55,1,0,5,5,0,0,"1,75",37
106,,,base,interview,2022-06-29 16:03:53,2,11,4,4,1,1,2,0,32,2,3,5,1,2,1,1,3,3,1,4,5,4,2,3,2,1,3,4,121,24,14,166,,2022-06-29 16:06:39,1,0,5,5,0,0,"1,96",64
107,,,base,interview,2022-06-29 16:07:02,,,,,1,,,,,,,,,,,,,,,,,,,,,1,8,3,,,,11,,2022-06-29 16:07:13,0,0,2,2,0,0,"1,48",24
108,,,base,interview,2022-06-29 16:08:54,1,5,10,3,1,1,5,0,9,1,1,6,1,6,6,2,2,7,2,5,6,5,1,1,1,1,13,5,81,72,23,194,,2022-06-29 16:12:09,1,0,5,5,0,0,"1,06",5
110,,,base,interview,2022-06-29 16:48:10,2,15,9,4,1,1,60,0,38,5,5,6,1,2,1,2,4,4,5,5,4,4,5,3,4,1,7,3,70,10,11,101,,2022-06-29 16:49:51,1,0,5,5,0,0,"2,03",96
111,,,base,interview,2022-06-29 17:16:52,1,5,7,3,1,1,5,0,30,1,1,1,1,1,1,1,1,3,2,1,1,1,1,4,1,1,39,3,40,17,35,134,,2022-06-29 17:19:06,1,0,5,5,0,0,"1,62",54
112,,,base,interview,2022-06-29 17:37:17,,,,,1,,,,,,,,,,,,,,,,,,,,,1,24,5,,,,29,,2022-06-29 17:37:46,0,0,2,2,0,0,"0,67",0
116,,,base,interview,2022-06-29 21:38:14,1,9,3,4,1,1,100,1,17,2,1,6,5,4,1,1,5,6,5,5,5,5,5,5,5,1,335,22,91,70,28,206,,2022-06-29 21:47:20,1,0,5,5,0,0,"0,68",2
117,,,base,interview,2022-06-29 22:36:11,1,7,6,3,1,1,20,1,15,1,2,4,3,3,3,1,1,1,1,1,7,2,1,1,1,1,7,3,34,25,12,81,,2022-06-29 22:37:32,1,0,5,5,0,0,"2,28",65
118,,,base,interview,2022-06-29 23:08:10,2,6,4,2,1,1,59,0,57,1,2,6,3,4,2,2,1,5,5,5,7,6,5,5,5,1,45,4,172,47,14,282,,2022-06-29 23:12:52,1,0,5,5,0,0,"1,08",15
120,,,base,interview,2022-06-30 11:25:49,2,8,3,3,1,2,,1,0,6,6,6,6,6,3,2,1,4,1,4,7,4,4,5,5,1,18,4,76,75,34,207,,2022-06-30 11:29:16,1,0,5,5,0,0,"0,98",4
121,,,base,interview,2022-06-30 12:03:19,2,6,3,2,1,1,20,0,28,5,5,6,2,4,4,2,2,2,3,5,6,2,1,3,1,1,4,3,138,157,45,347,,2022-06-30 12:09:06,1,0,5,5,0,0,"1,24",26
122,,,base,interview,2022-06-30 14:30:01,,,,,1,-9,,,,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,1,3,2,21,,,26,,2022-06-30 14:30:27,0,0,3,3,83,83,"2,67",140
127,,,base,interview,2022-06-30 14:49:48,2,6,10,3,1,1,25,1,0,4,4,6,2,5,1,2,2,2,2,2,6,2,2,1,1,1,26,4,80,85,16,211,,2022-06-30 14:53:19,1,0,5,5,0,0,"1,08",10
129,,,base,interview,2022-06-30 14:56:08,2,5,1,2,1,1,60,2,12,1,5,6,6,6,5,2,6,7,4,7,7,5,1,6,4,1,234,5,186,151,41,396,,2022-06-30 15:06:25,1,0,5,5,0,0,"0,52",0
130,,,base,interview,2022-06-30 15:06:43,1,24,7,3,1,1,50,1,6,6,6,6,1,6,1,2,7,7,7,7,3,6,2,7,7,1,17,5,102,56,27,207,,2022-06-30 15:10:10,1,0,5,5,0,0,"0,99",4
132,,,base,interview,2022-06-30 15:18:08,,,,,1,,,,,,,,,,,,,,,,,,,,,1,909,22,,,,17,,2022-06-30 15:33:39,0,0,2,2,0,0,"0,1",0
133,,,base,interview,2022-06-30 15:19:09,2,23,6,4,1,1,32,1,30,6,6,2,5,1,1,2,6,6,6,5,6,7,7,6,6,1,12,11,511,1202,59,256,,2022-06-30 15:49:04,1,0,5,5,0,0,"0,43",1
134,,,base,interview,2022-06-30 15:21:44,2,15,3,-1,1,2,,2,20,4,4,4,4,3,3,3,4,7,7,7,5,7,6,4,4,1,242,8,172,105,47,345,,2022-06-30 15:31:18,1,0,5,5,0,0,"0,49",0
135,,,base,interview,2022-06-30 15:32:19,1,26,4,3,1,2,,2,46,6,6,6,4,6,4,2,1,7,1,7,7,4,4,4,1,1,17,4,195,335,27,318,,2022-06-30 15:41:58,1,0,5,5,0,0,"0,71",0
137,,,base,interview,2022-06-30 15:38:28,2,28,6,4,1,1,20,0,42,1,2,5,2,4,1,1,5,7,2,1,5,7,5,6,6,1,11,8,98,131,37,285,,2022-06-30 15:43:13,1,0,5,5,0,0,"0,81",3
138,,,base,interview,2022-06-30 15:45:28,3,18,6,4,1,1,160,3,20,4,4,3,5,4,4,4,6,5,2,2,2,2,2,3,3,1,18,9,33,23,26,104,,2022-06-30 15:47:17,1,0,5,5,0,0,"1,64",45
139,,,base,interview,2022-06-30 15:48:22,2,11,1,3,1,2,,1,20,5,6,5,3,5,2,5,6,4,5,6,6,5,6,2,5,1,12,5,78,26,45,166,,2022-06-30 15:51:08,1,0,5,5,0,0,"1,34",23
141,,,base,interview,2022-06-30 15:49:20,1,22,5,-1,1,1,2,0,19,1,2,6,2,2,2,2,4,4,4,4,4,4,4,4,4,1,963,19,159,698,3134,278,,2022-06-30 17:12:13,1,0,5,5,0,0,"0,2",0
142,,,base,interview,2022-06-30 15:51:41,,,,,2,,,,,,,,,,,,,,,,,,,,,1,12,4,,,,16,,2022-06-30 15:51:57,1,0,2,2,0,0,"1,04",2
143,,,base,interview,2022-06-30 15:53:09,1,11,2,-1,1,1,15,1,13,1,6,6,2,3,5,6,6,6,6,6,6,6,6,6,6,1,73,8,237,81,67,466,,2022-06-30 16:00:55,1,0,5,5,0,0,"0,49",0
144,,,base,interview,2022-06-30 15:53:16,,,,,1,,,,,,,,,,,,,,,,,,,,,1,377,12,,,,17,,2022-06-30 15:59:45,0,0,2,2,0,0,"0,18",0
146,,,base,interview,2022-06-30 16:16:08,1,8,10,-1,1,1,120,6,6,1,5,5,5,3,5,5,7,7,7,7,7,7,7,7,7,1,23,6,221,51,44,345,,2022-06-30 16:21:53,1,0,5,5,0,0,"0,76",5
150,,,base,interview,2022-06-30 16:58:20,,,,,1,,,,,,,,,,,,,,,,,,,,,1,13,4,,,,17,,2022-06-30 16:58:38,0,0,2,2,0,0,1,0
151,,,base,interview,2022-06-30 17:08:56,1,4,10,2,1,1,20,0,54,3,5,6,2,6,4,2,4,5,3,5,3,4,4,5,4,1,41,5,119,107,32,304,,2022-06-30 17:14:00,1,0,5,5,0,0,"0,71",0
153,,,base,interview,2022-06-30 18:04:33,1,4,4,2,1,1,60,0,44,3,4,6,2,5,3,2,5,6,5,7,5,4,3,6,5,1,23,3,166,105,33,330,,2022-06-30 18:10:03,1,0,5,5,0,0,"0,81",3
155,,,base,interview,2022-06-30 18:05:26,2,3,1,2,1,1,15,0,22,1,1,5,1,1,1,1,1,2,1,2,6,4,4,2,1,1,130,10,147,70,68,302,,2022-06-30 18:12:31,1,0,5,5,0,0,"0,54",1
156,,,base,interview,2022-06-30 18:05:36,2,9,2,-1,1,1,2,0,2,2,1,3,2,1,1,2,4,4,4,4,4,4,4,4,4,1,43,7,143,44,117,264,,2022-06-30 18:11:30,1,0,5,5,0,0,"0,71",7
158,,,base,interview,2022-06-30 18:13:09,2,3,10,-1,1,1,30,1,55,2,5,6,1,4,1,1,5,4,5,4,5,6,6,5,3,1,199,13,296,228,116,415,,2022-06-30 18:27:21,1,0,5,5,0,0,"0,26",0
164,,,base,interview,2022-06-30 18:33:39,,,,,2,,,,,,,,,,,,,,,,,,,,,1,230,4,,,,17,,2022-06-30 18:37:33,1,0,2,2,0,0,"0,53",0
165,,,base,interview,2022-06-30 18:34:39,2,4,4,2,1,1,10,1,0,2,3,6,2,4,2,1,5,7,1,6,7,7,1,5,6,1,7,3,50,63,25,148,,2022-06-30 18:37:07,1,0,5,5,0,0,"1,51",26
171,,,base,interview,2022-06-30 19:33:32,1,3,3,2,1,1,60,0,25,6,6,6,4,6,4,2,4,6,3,5,5,5,7,6,4,1,13,5,121,76,24,239,,2022-06-30 19:37:31,1,0,5,5,0,0,"0,96",1
173,,,base,interview,2022-06-30 19:41:08,1,22,6,4,1,1,15,0,32,2,3,6,2,3,1,1,4,6,6,6,5,7,5,1,3,1,6,5,173,220,39,298,,2022-06-30 19:48:31,1,0,5,5,0,0,"0,92",12
174,,,base,interview,2022-06-30 19:44:42,,,,,2,,,,,,,,,,,,,,,,,,,,,1,8,5,,,,13,,2022-06-30 19:44:55,1,0,2,2,0,0,"1,21",16
175,,,base,interview,2022-06-30 19:45:10,,,,,1,2,,,6,3,3,3,3,3,3,3,,,,,,,,,,1,4,4,34,,,42,,2022-06-30 19:45:52,0,0,3,3,8,8,"2,33",73
179,,,base,interview,2022-06-30 20:38:24,1,3,3,2,1,1,18,0,35,4,5,6,4,6,4,2,2,5,2,5,5,2,2,3,2,1,9,3,198,60,19,289,,2022-06-30 20:43:13,1,0,5,5,0,0,"1,2",14
181,,,base,interview,2022-06-30 20:48:50,,,,,1,,,,,,,,,,,,,,,,,,,,,1,239,5,,,,18,,2022-06-30 20:52:54,0,0,2,2,0,0,"0,43",0
182,,,base,interview,2022-06-30 20:53:15,,,,,2,,,,,,,,,,,,,,,,,,,,,1,4,2,,,,6,,2022-06-30 20:53:21,1,0,2,2,0,0,"2,5",81
183,,,base,interview,2022-06-30 20:58:26,1,3,3,2,1,1,25,0,32,4,4,6,2,6,2,4,3,5,1,5,7,5,2,4,4,1,7,4,113,74,17,215,,2022-06-30 21:02:01,1,0,5,5,0,0,"1,28",15
185,,,base,interview,2022-06-30 22:48:46,1,2,4,1,1,1,20,1,4,1,2,6,4,6,2,2,2,5,5,5,6,5,4,5,2,1,10,4,96,187,26,323,,2022-06-30 22:54:09,1,0,5,5,0,0,"0,97",4
187,,,base,interview,2022-07-01 2:03:48,2,4,3,3,1,1,60,0,12,1,2,5,5,5,1,3,5,7,2,3,4,5,4,4,4,1,194,6,131,47,73,270,,2022-07-01 2:11:19,1,0,5,5,0,0,"0,7",6
193,,,base,interview,2022-07-01 4:43:54,1,30,9,4,1,1,8,1,5,1,1,5,2,5,5,2,7,7,4,7,1,7,4,4,4,1,13,11,1099,424,59,257,,2022-07-01 5:10:40,1,0,5,5,0,0,"0,42",0
195,,,base,interview,2022-07-01 11:04:46,,,,,1,2,,0,48,1,2,6,4,3,1,2,,,,,,,,,,1,4,5,169,25059,,253,,2022-07-01 18:05:24,0,0,4,4,0,0,"1,11",28
202,,,base,interview,2022-07-03 12:07:11,2,6,3,2,1,1,45,0,59,4,5,6,2,5,2,1,2,4,4,4,7,4,4,4,4,1,13,3,82,53,13,164,,2022-07-03 12:09:55,1,0,5,5,0,0,"1,42",21
204,,,base,interview,2022-07-03 12:20:52,1,5,2,3,1,1,60,1,53,1,1,6,5,1,1,1,1,4,4,7,7,1,1,1,5,1,34,4,101,61,13,213,,2022-07-03 12:24:25,1,0,5,5,0,0,"1,15",13
205,,,base,interview,2022-07-03 12:48:40,1,9,4,3,1,1,10,0,17,1,1,6,1,3,1,1,4,6,5,6,3,6,5,4,4,1,8,2,48,37,12,107,,2022-07-03 12:50:27,1,0,5,5,0,0,"2,02",51
208,,,base,interview,2022-07-03 15:21:28,1,6,2,2,1,1,30,1,30,3,4,6,4,6,4,1,2,7,4,5,1,4,1,6,1,1,5,3,46,69,11,134,,2022-07-03 15:23:42,1,0,5,5,0,0,"1,95",48
212,,,base,interview,2022-07-04 10:21:47,1,6,6,3,1,1,20,2,24,2,2,6,1,4,2,1,4,6,3,4,6,4,5,4,4,1,88,4,56,54,20,222,,2022-07-04 10:25:29,1,0,5,5,0,0,"1,15",16
213,,,base,interview,2022-07-04 15:20:53,,,,,2,,,,,,,,,,,,,,,,,,,,,1,4,4,,,,8,,2022-07-04 15:21:01,1,0,2,2,0,0,2,56
221,,,base,interview,2022-07-05 13:03:07,1,5,4,3,1,1,50,2,12,3,5,5,1,6,2,2,1,2,1,2,6,3,4,5,4,1,6,3,70,61,18,158,,2022-07-05 13:05:45,1,0,5,5,0,0,"1,55",27
225,,,base,interview,2022-07-05 13:56:59,,,,,1,,,,,,,,,,,,,,,,,,,,,1,5,3,,,,8,,2022-07-05 13:57:07,0,0,2,2,0,0,"1,97",48
226,,,base,interview,2022-07-05 14:03:20,2,7,4,3,1,1,25,2,10,1,1,4,5,3,1,1,6,6,2,7,5,5,5,7,7,1,6,3,76,47,26,158,,2022-07-05 14:05:58,1,0,5,5,0,0,"1,5",25
227,,,base,interview,2022-07-05 14:10:52,,,,,1,,,,,,,,,,,,,,,,,,,,,1,8,4,,,,12,,2022-07-05 14:11:04,0,0,2,2,0,0,"1,31",16
229,,,base,interview,2022-07-05 14:25:24,,,,,1,,,,,,,,,,,,,,,,,,,,,1,50,6,111,,,167,,2022-07-05 14:26:20,0,0,2,3,0,0,"0,63",0
232,,,base,interview,2022-07-05 14:28:41,1,3,10,2,1,1,15,0,53,4,5,6,2,6,2,2,2,6,1,2,7,5,4,5,2,1,5,3,60,131,51,250,,2022-07-05 14:32:51,1,0,5,5,0,0,"1,36",27
